"","GENENAME","estimate","se","p","fdr"
"PRPF39","PRPF39",-0.312871167923827,0.0832474276236542,1.08027052692781e-12,2.45812656892023e-12
"PRPF4","PRPF4",-0.118687101034655,0.0374130518293199,0.0013070951485695,0.00160450304599307
"PRPF40A","PRPF40A",-0.0843235319680324,0.0958723534996739,2.22045654785646e-06,3.37419817300337e-06
"PRPF40B","PRPF40B",-0.418341361387931,0.132948273147131,3.13377614989458e-10,6.17571813115814e-10
"PRPF4B","PRPF4B",-0.104795736158739,0.0943402932558074,9.98442937175368e-05,0.000133698574431302
"PRPF6","PRPF6",-0.161723364546192,0.0446096786080419,6.43784823146356e-07,1.01469422006238e-06
"PRPF8","PRPF8",-0.166550502737187,0.0880510602468076,8.53911917003292e-07,1.33299849811019e-06
"PRPS1","PRPS1",-0.24675658623662,0.0761923977826889,1.93081000560746e-08,3.3748063871873e-08
"PRPS2","PRPS2",-0.0978023048279161,0.06357563635375,0.050919295130653,0.0550542619620459
"PRPSAP1","PRPSAP1",0.00648995622240354,0.118305692806762,1.68484961083085e-06,2.58071868713417e-06
"PRPSAP2","PRPSAP2",-0.209512194823824,0.0381406513672652,9.60125894955033e-13,2.19228439049487e-12
"PRR11","PRR11",0.32771506924399,0.170023347444355,4.07042053319993e-08,6.9482598030516e-08
"PRR12","PRR12",0.0289433764201492,0.0973721318454236,0.00329760787619911,0.00392082974232324
"PRR13","PRR13",0.567234106126092,0.0735889321384617,6.1759919657342e-42,5.16241800338021e-41
"PRR14","PRR14",-0.0308404687102357,0.127530029112036,0.000118361212685257,0.000157748685991783
"PRR15","PRR15",-1.92515332945005,0.395187391207056,1.2685196147405e-14,3.21464530003324e-14
"PRR16","PRR16",-0.121096640450791,0.483824536264677,0.000163975456213302,0.000215740008323968
"PRR19","PRR19",-0.162354189650276,0.420138276865613,1.53313816489848e-18,4.71427113841039e-18
"PRR22","PRR22",-0.520792168653692,0.125799180151608,2.50425788517218e-08,4.34205121736408e-08
"PRR24","PRR24",0.259484998632201,0.159504848065341,4.05466162794708e-09,7.42045469825555e-09
"PRR3","PRR3",-0.449947494132579,0.0985811589576288,1.5778704142051e-20,5.32654326156645e-20
"PRR4","PRR4",-0.674721558981932,0.0873726446604907,4.21355044825264e-30,2.13967111713102e-29
"PRR5","PRR5",-0.565637654342768,0.112420588498806,3.93632577665307e-08,6.72900843307504e-08
"PRR5L","PRR5L",-0.287243818819791,0.320127430871448,0.00055991206533423,0.000708928126122044
"PRR7","PRR7",-0.163511847959384,0.256117237392363,1.43629421558068e-06,2.20966912861016e-06
"PRRC1","PRRC1",-0.201859180555497,0.0636537080556067,2.66148192221627e-05,3.73096447063246e-05
"PRRG1","PRRG1",-1.0875732200635,0.364234497452368,2.33877994953839e-05,3.29332754517395e-05
"PRRG4","PRRG4",0.720502426893756,0.10424488564816,4.24600138963803e-21,1.46961775344174e-20
"PRRT1","PRRT1",-1.30375092401345,0.222961952241818,1.81333987258296e-33,1.0648339666184e-32
"PRRT3","PRRT3",-0.229442156851065,0.173001196951985,0.000978487639046583,0.00121588248956796
"PRSS12","PRSS12",0.743359365505801,0.382541632813773,5.53951678586876e-07,8.76820057210051e-07
"PRSS21","PRSS21",-0.874464336981317,0.292574988846852,0.0565498273635791,0.0609758669361973
"PRSS23","PRSS23",0.262782638822931,0.202844468293197,0.0433205142352154,0.047120906601642
"PRSS27","PRSS27",-0.941413981169529,0.277882975667238,5.31604872097473e-20,1.75330916945864e-19
"PRSS36","PRSS36",0.814894760969903,0.194145179613319,2.68893896544225e-16,7.45375885087543e-16
"PRSS53","PRSS53",-0.0691959617770427,0.0656995909047534,0.565536469721053,0.571295985664915
"PRTFDC1","PRTFDC1",-2.09792077757614,0.18508289199858,5.28998284939567e-27,2.39549010788687e-26
"PRTN3","PRTN3",-0.494612366292165,0.361557456552948,0.00277246612434026,0.00331631637805468
"PRUNE","PRUNE",-0.454484037136335,0.121198891044777,1.83441992315126e-21,6.46008885954716e-21
"PRUNE2","PRUNE2",0.855872239896339,0.152056990931902,6.19724275013453e-08,1.04558157979945e-07
"PRX","PRX",0.015062122603076,0.148469793858746,0.00807003243995163,0.00931422438987144
"PSAP","PSAP",2.45825222874865,0.0891469046913904,2.63784545257601e-171,3.48869715800136e-168
"PSAT1","PSAT1",1.16047278514837,0.169173728964828,2.56257562755759e-10,5.07610878595741e-10
"PSD","PSD",0.152058225936417,0.124054453759292,0.00523844430553955,0.0061280788765442
"PSD3","PSD3",-0.482472698287254,0.277996785974236,7.37592934955915e-05,9.97338260227224e-05
"PSD4","PSD4",0.226000867882146,0.127309960724421,2.30859327598266e-11,4.87825062382772e-11
"PSEN1","PSEN1",0.510368573646239,0.0722635470783608,1.05521140215991e-30,5.51126867920555e-30
"PSEN2","PSEN2",0.263201823496972,0.0832419136548946,0.00238423790699507,0.00286633509816809
"PSENEN","PSENEN",0.399450576253713,0.11269627928049,1.01532816783424e-13,2.44150528923858e-13
"PSIP1","PSIP1",-0.206147271917871,0.0395862100571552,9.88676917346674e-06,1.42822131843359e-05
"PSKH1","PSKH1",-0.0867617980778732,0.15340185029654,1.07798001954047e-07,1.7903161954221e-07
"PSMA1","PSMA1",-0.00518974533183033,0.0824880106150205,0.000138981438742022,0.000183933296124782
"PSMA2","PSMA2",0.123729014177944,0.0848260080434431,0.00214732435601701,0.00259330375503962
"PSMA3","PSMA3",0.0553245825109114,0.0523455161891395,0.0255863530544942,0.0283517371446327
"PSMA4","PSMA4",0.229640853126465,0.073620997077902,2.13282392064609e-09,3.97977788484879e-09
"PSMA5","PSMA5",0.164299377069692,0.0616463225167441,1.87920021138963e-05,2.66699894076198e-05
"PSMA6","PSMA6",-0.0444420537913824,0.117418700357122,0.000118289801259139,0.000157688823427879
"PSMA7","PSMA7",0.328506279463529,0.0550710942097496,2.0226060991692e-19,6.48050616377147e-19
"PSMB1","PSMB1",0.210118121975531,0.0986840258011343,5.71632378856697e-14,1.39805974907256e-13
"PSMB10","PSMB10",0.677374819047306,0.0883917176392019,3.78382847065154e-33,2.18954352387775e-32
"PSMB2","PSMB2",0.114615741049735,0.0820894851808637,3.73616784502522e-06,5.58548177082834e-06
"PSMB4","PSMB4",0.281206301293123,0.0743106552707193,2.63747306468143e-16,7.31279801744772e-16
"PSMB5","PSMB5",-0.0652481100562743,0.0983469911735311,0.0104313179135134,0.0119159287067706
"PSMB6","PSMB6",0.229612854222804,0.0467792557083087,4.60581162124938e-06,6.82726970457426e-06
"PSMB7","PSMB7",0.00351168102331692,0.0724938825451473,0.0021312148859102,0.00257489350253645
"PSMB8","PSMB8",0.664367869317793,0.113410854718001,1.73271374338297e-33,1.01899662487586e-32
"PSMC1","PSMC1",0.0563274307998347,0.0964518800324151,8.18692728156888e-06,1.1894177399306e-05
"PSMC2","PSMC2",0.200787891823103,0.0623709137532551,1.91096241129106e-10,3.81967851915994e-10
"PSMC3","PSMC3",0.0849364091718673,0.0644732799512556,0.0625970924484596,0.0672891891460322
"PSMC3IP","PSMC3IP",0.170800788642969,0.206712751168076,7.02662038779654e-14,1.70794083062982e-13
"PSMC4","PSMC4",0.301906680915255,0.065180715327806,5.53714170049491e-13,1.28451759230152e-12
"PSMC5","PSMC5",0.0817670667997971,0.0418775348478131,0.0740208885457651,0.0791333425866931
"PSMC6","PSMC6",-0.0916500561384767,0.0474245600206745,0.0272477857852237,0.0301058566974396
"PSMD1","PSMD1",0.00983721269106685,0.0741060655595101,0.0127069957440249,0.0144117551539903
"PSMD10","PSMD10",0.0849558743761571,0.0650581599025124,0.0228667554999688,0.0254352855542593
"PSMD11","PSMD11",0.0967679878231895,0.136757433699017,8.2601894276329e-11,1.69052673241256e-10
